"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JIV5NVK9","conferencePaper","2018","Gritz, Maria","Towards Lexical Meaning Formal Representation by virtue of the NL-DL Definition Transformation Method","Proceedings of the Third International Conference on Computational Linguistics in Bulgaria (CLIB 2018)","","","","https://aclanthology.org/2018.clib-1.5/","The paper represents a part of an extensive study devoted to the issues of lexical meaning formal representation in OWL 2 DL notation. Both theoretical and methodological aspects of lexical meaning formalization within the framework of an ontology are observed in the paper. Model-theoretic semantics paradigm and Kripke model are considered to form a theoretical background for formalization of lexical meaning, whereas the NL-DL definition transformation method is investigated as a method designed to provide us with acceptable formal definitions in OWL 2 DL notation with natural language definitions given at the input. A brief critical study of the method has allowed to reveal particular problematic cases of the method application, which arise due to syntactic peculiarities of natural language definitions given at the input.","2018-05","2025-09-10 13:17:16","2025-09-10 13:17:16","","23–33","","","","","","","","","","","Department of Computational Linguistics, Institute for Bulgarian Language, Bulgarian Academy of Sciences","Sofia, Bulgaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2JUVG2Z","conferencePaper","2018","Maziarz, Marek; Piasecki, Maciej","Towards Mapping Thesauri onto plWordNet","Proceedings of the 9th Global Wordnet Conference","","","","https://aclanthology.org/2018.gwc-1.6/","plWordNet, the wordnet of Polish, has become a very comprehensive description of the Polish lexical system. This paper presents a plan of its semi-automated integration with thesauri, terminological databases and ontologies, as a further necessary step in its development. This will improve linking of plWordNet into Linked Open Data, and facilitate applications in, e.g., WSD, keyword extraction or automated metadata generation. We present an overview of resources relevant to Polish and a plan for their linking to plWordNet.","2018-01","2025-09-10 13:17:16","2025-09-10 13:17:16","","44–52","","","","","","","","","","","Global Wordnet Association","Nanyang Technological University (NTU), Singapore","","","","","","","","","","","","","","Bond, Francis; Vossen, Piek; Fellbaum, Christiane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8BBYNJ34","conferencePaper","2018","Pease, Adam; Cheung, Andrew","Toward a Semantic Concordancer","Proceedings of the 9th Global Wordnet Conference","","","","https://aclanthology.org/2018.gwc-1.12/","Concordancers are an accepted and valuable part of the tool set of linguists and lexicographers. They allow the user to see the context of use of a word or phrase in a corpus. A large enough corpus, such as the Corpus Of Contemporary American English, provides the data needed to enumerate all common uses or meanings. One challenge is that there may be too many results for short search phrases or common words when only a specific context is desired. However, finding meaningful groupings of usage may be impractical if it entails enumerating long lists of possible values, such as city names. If a tool existed that could create some semantic abstractions, it would free the lexicographer from the need to resort to customized development of analysis software. To address this need, we have developed a Semantic Concordancer that uses dependency parsing and the Suggested Upper Merged Ontology (SUMO) to support linguistic analysis at a level of semantic abstraction above the original textual elements. We show how this facility can be employed to analyze the use of English prepositions by non-native speakers. We briefly introduce condordancers and then describe the corpora on which we applied this work. Next we provide a detailed description of the NLP pipeline followed by how this captures detailed semantics. We show how the semantics can be used to analyze errors in the use of English prepositions by non-native speakers of English. Then we provide a description of a tool that allows users to build semantic search specifications from a set of English examples and how those results can be employed to build rules that translate sentences into logical forms. Finally, we summarize our conclusions and mention future work.","2018-01","2025-09-10 13:17:16","2025-09-10 13:17:16","","97–104","","","","","","","","","","","Global Wordnet Association","Nanyang Technological University (NTU), Singapore","","","","","","","","","","","","","","Bond, Francis; Vossen, Piek; Fellbaum, Christiane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPVV4MDS","conferencePaper","2018","Muniz, Henrique; Chalub, Fabricio; Rademaker, Alexandre; Paiva, Valeria De","Extending Wordnet to Geological Times","Proceedings of the 9th Global Wordnet Conference","","","","https://aclanthology.org/2018.gwc-1.17/","This paper describes work extending Princeton WordNet to the domain of geological texts, associated with the time periods of the geological eras of the Earth History. We intend this extension to be considered as an example for any other domain extension that we might want to pursue. To provide this extension, we first produce a textual version of Princeton WordNet. Then we map a fragment of the International Commission on Stratigraphy (ICS) ontologies to WordNet and create the appropriate new synsets. We check the extended ontology on a small corpus of sentences from Gas and Oil technical reports and realize that more work needs to be done, as we need new words, new senses and new compounds in our extended WordNet.","2018-01","2025-09-10 13:17:16","2025-09-10 13:17:16","","145–152","","","","","","","","","","","Global Wordnet Association","Nanyang Technological University (NTU), Singapore","","","","","","","","","","","","","","Bond, Francis; Vossen, Piek; Fellbaum, Christiane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AS35IZG","conferencePaper","2018","Pedersen, Bolette; Agirrezabal, Manex; Nimb, Sanni; Olsen, Ida; Olsen, Sussi","Towards a principled approach to sense clustering – a case study of wordnet and dictionary senses in Danish","Proceedings of the 9th Global Wordnet Conference","","","","https://aclanthology.org/2018.gwc-1.21/","Our aim is to develop principled methods for sense clustering which can make existing lexical resources practically useful in NLP – not too fine-grained to be operational and yet finegrained enough to be worth the trouble. Where traditional dictionaries have a highly structured sense inventory typically describing the vocabulary by means of mainand subsenses, wordnets are generally fine-grained and unstructured. We present a series of clustering and annotation experiments with 10 of the most polysemous nouns in Danish. We combine the structured information of a traditional Danish dictionary with the ontological types found in the Danish wordnet, DanNet. This constellation enables us to automatically cluster senses in a principled way and improve inter-annotator agreement and wsd performance.","2018-01","2025-09-10 13:17:16","2025-09-10 13:17:16","","182–189","","","","","","","","","","","Global Wordnet Association","Nanyang Technological University (NTU), Singapore","","","","","","","","","","","","","","Bond, Francis; Vossen, Piek; Fellbaum, Christiane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGVVEWXM","conferencePaper","2019","Iyer, Vivek; Mohan, Lalit; Bhatia, Mehar; Reddy, Y. Raghu","A Survey on Ontology Enrichment from Text","Proceedings of the 16th International Conference on Natural Language Processing","","","","https://aclanthology.org/2019.icon-1.11/","Increased internet bandwidth at low cost is leading to the creation of large volumes of unstructured data. This data explosion opens up opportunities for the creation of a variety of data-driven intelligent systems, such as the Semantic Web. Ontologies form one of the most crucial layers of semantic web, and the extraction and enrichment of ontologies given this data explosion becomes an inevitable research problem. In this paper, we survey the literature on semi-automatic and automatic ontology extraction and enrichment and classify them into four broad categories based on the approach. Then, we proceed to narrow down four algorithms from each of these categories, implement and analytically compare them based on parameters like context relevance, efficiency and precision. Lastly, we propose a Long Short Term Memory Networks (LSTM) based deep learning approach to try and overcome the gaps identified in these approaches.","2019-12","2025-09-10 13:17:16","2025-09-10 13:17:16","","95–104","","","","","","","","","","","NLP Association of India","International Institute of Information Technology, Hyderabad, India","","","","","","","","","","","","","","Sharma, Dipti Misra; Bhattacharya, Pushpak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T29SGTXX","conferencePaper","2020","Campagna, Giovanni; Foryciarz, Agata; Moradshahi, Mehrad; Lam, Monica","Zero-Shot Transfer Learning with Synthesized Data for Multi-Domain Dialogue State Tracking","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics","","","10.18653/v1/2020.acl-main.12","https://aclanthology.org/2020.acl-main.12/","Zero-shot transfer learning for multi-domain dialogue state tracking can allow us to handle new domains without incurring the high cost of data acquisition. This paper proposes new zero-short transfer learning technique for dialogue state tracking where the in-domain training data are all synthesized from an abstract dialogue model and the ontology of the domain. We show that data augmentation through synthesized data can improve the accuracy of zero-shot learning for both the TRADE model and the BERT-based SUMBT model on the MultiWOZ 2.1 dataset. We show training with only synthesized in-domain data on the SUMBT model can reach about 2/3 of the accuracy obtained with the full training dataset. We improve the zero-shot learning state of the art on average across domains by 21%.","2020-07","2025-09-10 13:17:16","2025-09-10 13:17:16","","122–132","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","","","","","","","","","Jurafsky, Dan; Chai, Joyce; Schluter, Natalie; Tetreault, Joel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IA7ZEV5H","conferencePaper","2020","Sotudeh Gharebagh, Sajad; Goharian, Nazli; Filice, Ross","Attend to Medical Ontologies: Content Selection for Clinical Abstractive Summarization","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics","","","10.18653/v1/2020.acl-main.172","https://aclanthology.org/2020.acl-main.172/","Sequence-to-sequence (seq2seq) network is a well-established model for text summarization task. It can learn to produce readable content; however, it falls short in effectively identifying key regions of the source. In this paper, we approach the content selection problem for clinical abstractive summarization by augmenting salient ontological terms into the summarizer. Our experiments on two publicly available clinical data sets (107,372 reports of MIMIC-CXR, and 3,366 reports of OpenI) show that our model statistically significantly boosts state-of-the-art results in terms of ROUGE metrics (with improvements: 2.9% RG-1, 2.5% RG-2, 1.9% RG-L), in the healthcare domain where any range of improvement impacts patients' welfare.","2020-07","2025-09-10 13:17:16","2025-09-10 13:17:16","","1899–1905","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","","","","","","","","","Jurafsky, Dan; Chai, Joyce; Schluter, Natalie; Tetreault, Joel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZNUDZIF","conferencePaper","2020","Xu, Dongfang; Zhang, Zeyu; Bethard, Steven","A Generate-and-Rank Framework with Semantic Type Regularization for Biomedical Concept Normalization","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics","","","10.18653/v1/2020.acl-main.748","https://aclanthology.org/2020.acl-main.748/","Concept normalization, the task of linking textual mentions of concepts to concepts in an ontology, is challenging because ontologies are large. In most cases, annotated datasets cover only a small sample of the concepts, yet concept normalizers are expected to predict all concepts in the ontology. In this paper, we propose an architecture consisting of a candidate generator and a list-wise ranker based on BERT. The ranker considers pairings of concept mentions and candidate concepts, allowing it to make predictions for any concept, not just those seen during training. We further enhance this list-wise approach with a semantic type regularizer that allows the model to incorporate semantic type information from the ontology during training. Our proposed concept normalization framework achieves state-of-the-art performance on multiple datasets.","2020-07","2025-09-10 13:17:17","2025-09-10 13:17:17","","8452–8464","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","","","","","","","","","Jurafsky, Dan; Chai, Joyce; Schluter, Natalie; Tetreault, Joel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS2L5IXM","conferencePaper","2020","Schumacher, Elliot; Mulyar, Andriy; Dredze, Mark","Clinical Concept Linking with Contextualized Neural Representations","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics","","","10.18653/v1/2020.acl-main.760","https://aclanthology.org/2020.acl-main.760/","In traditional approaches to entity linking, linking decisions are based on three sources of information – the similarity of the mention string to an entity's name, the similarity of the context of the document to the entity, and broader information about the knowledge base (KB). In some domains, there is little contextual information present in the KB and thus we rely more heavily on mention string similarity. We consider one example of this, concept linking, which seeks to link mentions of medical concepts to a medical concept ontology. We propose an approach to concept linking that leverages recent work in contextualized neural models, such as ELMo (Peters et al. 2018), which create a token representation that integrates the surrounding context of the mention and concept name. We find a neural ranking approach paired with contextualized embeddings provides gains over a competitive baseline (Leaman et al. 2013). Additionally, we find that a pre-training step using synonyms from the ontology offers a useful initialization for the ranker.","2020-07","2025-09-10 13:17:17","2025-09-10 13:17:17","","8585–8592","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","","","","","","","","","Jurafsky, Dan; Chai, Joyce; Schluter, Natalie; Tetreault, Joel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKX4VKIF","conferencePaper","2020","Li, Manling; Zareian, Alireza; Lin, Ying; Pan, Xiaoman; Whitehead, Spencer; Chen, Brian; Wu, Bo; Ji, Heng; Chang, Shih-Fu; Voss, Clare; Napierski, Daniel; Freedman, Marjorie","GAIA: A Fine-grained Multimedia Knowledge Extraction System","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: System Demonstrations","","","10.18653/v1/2020.acl-demos.11","https://aclanthology.org/2020.acl-demos.11/","We present the first comprehensive, open source multimedia knowledge extraction system that takes a massive stream of unstructured, heterogeneous multimedia data from various sources and languages as input, and creates a coherent, structured knowledge base, indexing entities, relations, and events, following a rich, fine-grained ontology. Our system, GAIA, enables seamless search of complex graph queries, and retrieves multimedia evidence including text, images and videos. GAIA achieves top performance at the recent NIST TAC SM-KBP2019 evaluation. The system is publicly available at GitHub and DockerHub, with a narrated video that documents the system.","2020-07","2025-09-10 13:17:17","2025-09-10 13:17:17","","77–86","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","","","","","","","","","Celikyilmaz, Asli; Wen, Tsung-Hsien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCHZGTSP","conferencePaper","2020","Dong, Xin Luna; Hajishirzi, Hannaneh; Lockard, Colin; Shiralkar, Prashant","Multi-modal Information Extraction from Text, Semi-structured, and Tabular Data on the Web","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: Tutorial Abstracts","","","10.18653/v1/2020.acl-tutorials.6","https://aclanthology.org/2020.acl-tutorials.6/","The World Wide Web contains vast quantities of textual information in several forms: unstructured text, template-based semi-structured webpages (which present data in key-value pairs and lists), and tables. Methods for extracting information from these sources and converting it to a structured form have been a target of research from the natural language processing (NLP), data mining, and database communities. While these researchers have largely separated extraction from web data into different problems based on the modality of the data, they have faced similar problems such as learning with limited labeled data, defining (or avoiding defining) ontologies, making use of prior knowledge, and scaling solutions to deal with the size of the Web. In this tutorial we take a holistic view toward information extraction, exploring the commonalities in the challenges and solutions developed to address these different forms of text. We will explore the approaches targeted at unstructured text that largely rely on learning syntactic or semantic textual patterns, approaches targeted at semi-structured documents that learn to identify structural patterns in the template, and approaches targeting web tables which rely heavily on entity linking and type information. While these different data modalities have largely been considered separately in the past, recent research has started taking a more inclusive approach toward textual extraction, in which the multiple signals offered by textual, layout, and visual clues are combined into a single extraction model made possible by new deep learning approaches. At the same time, trends within purely textual extraction have shifted toward full-document understanding rather than considering sentences as independent units. With this in mind, it is worth considering the information extraction problem as a whole to motivate solutions that harness textual semantics along with visual and semi-structured layout information. We will discuss these approaches and suggest avenues for future work.","2020-07","2025-09-10 13:17:17","2025-09-10 13:17:17","","23–26","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","","","","","","","","","Savary, Agata; Zhang, Yue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85SZRJRV","conferencePaper","2020","Arnold, Taylor; Tilton, Lauren","Enriching Historic Photography with Structured Data using Image Region Segmentation","Proceedings of the 1st International Workshop on Artificial Intelligence for Historical Image Enrichment and Access","979-10-95546-63-4","","","https://aclanthology.org/2020.ai4hi-1.1/","Cultural institutions such as galleries, libraries, archives and museums continue to make commitments to large scale digitization of collections. An ongoing challenge is how to increase discovery and access through structured data and the semantic web. In this paper we describe a method for using computer vision algorithms that automatically detect regions of “stuff” — such as the sky, water, and roads — to produce rich and accurate structured data triples for describing the content of historic photography. We apply our method to a collection of 1610 documentary photographs produced in the 1930s and 1940 by the FSA-OWI division of the U.S. federal government. Manual verification of the extracted annotations yields an accuracy rate of 97.5%, compared to 70.7% for relations extracted from object detection and 31.5% for automatically generated captions. Our method also produces a rich set of features, providing more unique labels (1170) than either the captions (1040) or object detection (178) methods. We conclude by describing directions for a linguistically-focused ontology of region categories that can better enrich historical image data. Open source code and the extracted metadata from our corpus are made available as external resources.","2020-05","2025-09-10 13:17:17","2025-09-10 13:17:17","","1–10","","","","","","","","","","","European Language Resources Association (ELRA)","Marseille, France","eng","","","","","","","","","","","","","Abgaz, Yalemisew; Dorn, Amelie; Diaz, Jose Luis Preza; Koch, Gerda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TE6MQ7J2","conferencePaper","2020","Breit, Anna","Interlinking Iconclass Data with Concepts of Art & Architecture Thesaurus","Proceedings of the 1st International Workshop on Artificial Intelligence for Historical Image Enrichment and Access","979-10-95546-63-4","","","https://aclanthology.org/2020.ai4hi-1.2/","Iconclass, being a a well established classification system, could benefit from interconnections with other ontologies in order to semantically enrich its content. This work presents a disambiguating and interlinking approach which is used to map Iconclass Subjects to concepts of the Art and Architecture Thesaurus. In a preliminary evaluation, the system is able to produce promising predictions, though the task is highly challenging due to conceptual and schema heterogeneity. Several algorithmic improvements for this specific interlinking task, as well as and future research directions are suggestions. The produced mappings, as well as the source code and additional information can be found at https://github.com/annabreit/taxonomy-interlinking.","2020-05","2025-09-10 13:17:17","2025-09-10 13:17:17","","11–15","","","","","","","","","","","European Language Resources Association (ELRA)","Marseille, France","eng","","","","","","","","","","","","","Abgaz, Yalemisew; Dorn, Amelie; Diaz, Jose Luis Preza; Koch, Gerda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZPZM936","conferencePaper","2020","Roberto, John; Ortego, Diego; Davis, Brian","Toward the Automatic Retrieval and Annotation of Outsider Art images: A Preliminary Statement","Proceedings of the 1st International Workshop on Artificial Intelligence for Historical Image Enrichment and Access","979-10-95546-63-4","","","https://aclanthology.org/2020.ai4hi-1.3/","The aim of this position paper is to establish an initial approach to the automatic classification of digital images about the Outsider Art style of painting. Specifically, we explore whether is it possible to classify non-traditional artistic styles by using the same features that are used for classifying traditional styles? Our research question is motivated by two facts. First, art historians state that non-traditional styles are influenced by factors “outside” of the world of art. Second, some studies have shown that several artistic styles confound certain classification techniques. Following current approaches to style prediction, this paper utilises Deep Learning methods to encode image features. Our preliminary experiments have provided motivation to think that, as is the case with traditional styles, Outsider Art can be computationally modelled with objective means by using training datasets and CNN models. Nevertheless, our results are not conclusive due to the lack of a large available dataset on Outsider Art. Therefore, at the end of the paper, we have mapped future lines of action, which include the compilation of a large dataset of Outsider Art images and the creation of an ontology of Outsider Art.","2020-05","2025-09-10 13:17:17","2025-09-10 13:17:17","","16–22","","","","","","","","","","","European Language Resources Association (ELRA)","Marseille, France","eng","","","","","","","","","","","","","Abgaz, Yalemisew; Dorn, Amelie; Diaz, Jose Luis Preza; Koch, Gerda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I2F6Q8XS","conferencePaper","2020","Das, Manirupa; Li, Juanxi; Fosler-Lussier, Eric; Lin, Simon; Rust, Steve; Huang, Yungui; Ramnath, Rajiv","Sequence-to-Set Semantic Tagging for Complex Query Reformulation and Automated Text Categorization in Biomedical IR using Self-Attention","Proceedings of the 19th SIGBioMed Workshop on Biomedical Language Processing","","","10.18653/v1/2020.bionlp-1.2","https://aclanthology.org/2020.bionlp-1.2/","Novel contexts, comprising a set of terms referring to one or more concepts, may often arise in complex querying scenarios such as in evidence-based medicine (EBM) involving biomedical literature. These may not explicitly refer to entities or canonical concept forms occurring in a fact-based knowledge source, e.g. the UMLS ontology. Moreover, hidden associations between related concepts meaningful in the current context, may not exist within a single document, but across documents in the collection. Predicting semantic concept tags of documents can therefore serve to associate documents related in unseen contexts, or categorize them, in information filtering or retrieval scenarios. Thus, inspired by the success of sequence-to-sequence neural models, we develop a novel sequence-to-set framework with attention, for learning document representations in a unique unsupervised setting, using no human-annotated document labels or external knowledge resources and only corpus-derived term statistics to drive the training, that can effect term transfer within a corpus for semantically tagging a large collection of documents. Our sequence-to-set modeling approach to predict semantic tags, gives to the best of our knowledge, the state-of-the-art for both, an unsupervised query expansion (QE) task for the TREC CDS 2016 challenge dataset when evaluated on an Okapi BM25–based document retrieval system; and also over the MLTM system baseline baseline (Soleimani and Miller, 2016), for both supervised and semi-supervised multi-label prediction tasks on the del.icio.us and Ohsumed datasets. We make our code and data publicly available.","2020-07","2025-09-10 13:17:17","2025-09-10 13:17:17","","14–27","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","","","","","","","","","Demner-Fushman, Dina; Cohen, Kevin Bretonnel; Ananiadou, Sophia; Tsujii, Junichi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YXQALK9K","conferencePaper","2020","Chang, David; Balažević, Ivana; Allen, Carl; Chawla, Daniel; Brandt, Cynthia; Taylor, Andrew","Benchmark and Best Practices for Biomedical Knowledge Graph Embeddings","Proceedings of the 19th SIGBioMed Workshop on Biomedical Language Processing","","","10.18653/v1/2020.bionlp-1.18","https://aclanthology.org/2020.bionlp-1.18/","Much of biomedical and healthcare data is encoded in discrete, symbolic form such as text and medical codes. There is a wealth of expert-curated biomedical domain knowledge stored in knowledge bases and ontologies, but the lack of reliable methods for learning knowledge representation has limited their usefulness in machine learning applications. While text-based representation learning has significantly improved in recent years through advances in natural language processing, attempts to learn biomedical concept embeddings so far have been lacking. A recent family of models called knowledge graph embeddings have shown promising results on general domain knowledge graphs, and we explore their capabilities in the biomedical domain. We train several state-of-the-art knowledge graph embedding models on the SNOMED-CT knowledge graph, provide a benchmark with comparison to existing methods and in-depth discussion on best practices, and make a case for the importance of leveraging the multi-relational nature of knowledge graphs for learning biomedical knowledge representation. The embeddings, code, and materials will be made available to the community.","2020-07","2025-09-10 13:17:17","2025-09-10 13:17:17","","167–176","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","","","","","","","","","Demner-Fushman, Dina; Cohen, Kevin Bretonnel; Ananiadou, Sophia; Tsujii, Junichi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
