"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6MQA44DX","conferencePaper","2025","Haghighi, Nava; Yu, Sunny; Landay, James A.; Rosner, Daniela","Ontologies in Design: How Imagining a Tree Reveals Possibilities and Assumptions in Large Language Models","Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems","979-8-4007-1394-1","","10.1145/3706598.3713633","https://doi.org/10.1145/3706598.3713633","Amid the recent uptake of Generative AI, sociotechnical scholars and critics have traced a multitude of resulting harms, with analyses largely focused on values and axiology (e.g., bias). While value-based analyses are crucial, we argue that ontologies—concerning what we allow ourselves to think or talk about—is a vital but under-recognized dimension in analyzing these systems. Proposing a need for a practice-based engagement with ontologies, we offer four orientations for considering ontologies in design: pluralism, groundedness, liveliness, and enactment. We share examples of potentialities that are opened up through these orientations across the entire LLM development pipeline by conducting two ontological analyses: examining the responses of four LLM-based chatbots in a prompting exercise, and analyzing the architecture of an LLM-based agent simulation. We conclude by sharing opportunities and limitations of working with ontologies in the design and development of sociotechnical systems.","2025","2025-09-10 14:11:51","2025-09-10 14:11:51","","","","","","","","","CHI '25","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","large language models; ontologies; generative AI; foundation models; LLM agents; ontological design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLYIH6BU","conferencePaper","2025","Liu, Zhiqiang; Gan, Chengtao; Wang, Junjie; Zhang, Yichi; Bo, Zhongpu; Sun, Mengshu; Chen, Huajun; Zhang, Wen","OntoTune: Ontology-Driven Self-training for Aligning Large Language Models","Proceedings of the ACM on Web Conference 2025","979-8-4007-1274-6","","10.1145/3696410.3714816","https://doi.org/10.1145/3696410.3714816","Existing domain-specific Large Language Models (LLMs) are typically developed by fine-tuning general-purposed LLMs with large-scale domain-specific corpora. However, training on large-scale corpora often fails to effectively organize domain knowledge of LLMs, leading to fragmented understanding. Inspired by how humans connect concepts and organize knowledge through mind maps, we aim to emulate this approach by using ontology with hierarchical conceptual knowledge to reorganize LLM's domain knowledge. From this perspective, we propose an ontology-driven self-training framework called OntoTune, which aims to align LLMs with ontology through in-context learning, enabling the generation of responses guided by the ontology. We leverage in-context learning to identify whether the LLM has acquired the specific concept's ontology knowledge, and select the entries not yet mastered by LLM as the training set to further align the LLM with ontology. Compared to existing domain LLMs based on newly collected large-scale domain-specific corpora, our OntoTune, which relies on the existing, long-term developed ontology and LLM itself, significantly reduces data maintenance costs and offers improved generalization ability. We conduct our study in the medical domain to evaluate the effectiveness of OntoTune, utilizing a standardized medical ontology, SNOMED CT as our ontology source. Experimental results demonstrate that OntoTune achieves state-of-the-art performance in both in-ontology task hypernym discovery and out-of-ontology task medical domain QA. Moreover, compared to the latest direct ontology injection method TaxoLLaMA, our OntoTune better preserves original knowledge of LLM. The code and data are available at https://github.com/zjukg/OntoTune.","2025","2025-09-10 14:11:51","2025-09-10 14:11:51","","119–133","","","","","","","WWW '25","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Sydney NSW, Australia","","","","large language model; align with ontology; self-training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IV7IWGGJ","bookSection","2025","Zheng, Hanqi; Ouyang, Guige; Huang, Yongzhong","An Unsupervised Ontology Construction Method Based on Pre-trained Language Model","Proceedings of the 2025 International Conference on Artificial Intelligence and Computational Intelligence","979-8-4007-1363-7","","","https://doi.org/10.1145/3730436.3730532","With the fast growth of text data, the importance of automatic ontology construction has grown significantly‎. The proposed article provides a novel approach by applying pre-trained ‎language models to automatically construct the ontology. The framework consists of two sequential phases: automatic concept discovery and automatic relation discovery. In the context of automatic concept discovery, instances and their embedding vectors ‎are extracted first through Named Entity Recognition (NER). Then, the unsupervised affinity ‎propagation (AP) clustering algorithm is applied to classify these embedding vectors, resulting in the discovery of the ‎concepts. A denoising method is discussed to obtain higher accuracy with respect to the concepts obtained to reduce noise caused by complete clustering. Related to automatic relation discovery between concepts (mentioned in the next section), the process ‎generates inexplicable concepts that are contextually similar based on the embedded vectors of instances mapping ‎over the two entities. This can enable unsupervised automatic discovery of relations between the contextually related concepts. This method shows a certain feasibility and achieves early effectiveness in unsupervised automatic ontology construction with the experimental results. ‎","2025","2025-09-10 14:11:52","2025-09-10 14:11:52","","588–595","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URJIGFPK","conferencePaper","2025","Shin, Yong-Jun; Utz, Wilfrid","A Platform-Independent Software-Intensive Workflow Modeling Language And An Open-Source Visual Programming Tool: A Bottom-Up Approach Using Ontology Integration Of Industrial Workflow Engines","Proceedings of the 40th ACM/SIGAPP Symposium on Applied Computing","979-8-4007-0629-5","","10.1145/3672608.3707840","https://doi.org/10.1145/3672608.3707840","Many contemporary software-intensive services are developed as workflows of collaborative and interdependent tasks. Industrial workflow platforms (i.e., engines) such as Airflow and Kubeflow automatically execute and monitor the workflow specified in platform-specific code. The code-based workflow specification becomes complex and error-prone as services grow in complexity. Furthermore, differences in platform-specific workflow specifications cause inefficiencies when porting workflows between platforms, even if the different platforms handle semantically the same workflow.In this paper, we propose a bottom-up approach for developing a platform-independent software-intensive workflow modeling language. The approach systematically extends the UML activity diagram by building platform-independent ontologies of the workflow specification from the given target industrial workflow engines. Based on the approach, we develop a platform-independent Workflow Modeling Language (WorkflowML) that covers four famous workflow engines (Airflow, Kubeflow, Argo workflow, and Metaflow). Furthermore, we implement an open-source visual programming tool for WorkflowML using the ADOxx metamodeling platform. We validate our approach by evaluating the expressiveness of WorkflowML based on modeling case studies of 42 simple workflows and two real-case workflow-based services. The evaluation results validate that WorkflowML serves as an effective common visual language for target workflow engines, supported by an open-source visual programming tool.","2025","2025-09-10 14:11:52","2025-09-10 14:11:52","","1421–1430","","","","","","","SAC '25","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Catania International Airport, Catania, Italy","","","","ontology; ADOxx; domain-specific modeling language; metamodeling; tool; visual programming; workflow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QK9XHN34","conferencePaper","2024","Mulayim, Ozan Baris; Paul, Lazlo; Pritoni, Marco; Prakash, Anand Krishnan; Sudarshan, Malavikha; Fierro, Gabe","Large Language Models for the Creation and Use of Semantic Ontologies in Buildings: Requirements and Challenges","Proceedings of the 11th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation","979-8-4007-0706-3","","10.1145/3671127.3698792","https://doi.org/10.1145/3671127.3698792","Semantic ontologies offer a formalized, machine-readable framework for representing knowledge, enabling the structured description of complex systems. In the building domain, the adoption of ontologies like the Brick schema has transformed how buildings and their systems are modeled by providing a standardized, interoperable language. However, the complexity and the steep learning curve involved in developing and querying semantic models present substantial challenges, often requiring a workforce with specialized expertise. This paper builds on our experience in investigating how Large Language Models (LLMs) can help address these challenges, focusing on their role in constructing and querying of semantic models, particularly using the Brick Schema. Our study outlines the requirements and metrics for evaluating the scalability and effectiveness of LLM-based tools, while also discussing the current challenges and limitations in developing such tools. Ultimately, this paper aims to orient research efforts as various groups experiment with diverse techniques, while enabling more effective comparison of emerging solutions and fostering collaboration across the field.","2024","2025-09-10 14:11:52","2025-09-10 14:11:52","","312–317","","","","","","","BuildSys '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Hangzhou, China","","","","Large Language Models; Knowledge Graphs; Semantic Ontology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5B6CIX4J","journalArticle","2025","Meloni, Antonello; Reforgiato Recupero, Diego; Osborne, Francesco; salatino, angelo; Motta, Enrico; Vahadati, Sahar; Lehmann, Jens","Exploring Large Language Models for Scientific Question Answering via Natural Language to SPARQL Translation","ACM Trans. Intell. Syst. Technol.","","2157-6904","10.1145/3757923","https://doi.org/10.1145/3757923","Translating scientific questions expressed in natural language into SPARQL queries that can be executed over knowledge graphs remains a significant challenge in the field of question answering. Recently, several prominent benchmarks, notably SciQA and DBLP-QuAD, have emerged to evaluate performance in this domain. In this paper, we provide a comprehensive analysis of the performance of language models on these benchmarks, assessing various optimization strategies. Our results indicate that the combined use of fine-tuning and prompting techniques, especially when incorporating strategic few-shot selection, produces excellent results on both benchmarks. These findings underscore an urgent need for more challenging benchmarks to better assess model capabilities. We identify key insights, common error patterns, and potential opportunities for transfer learning, and we discuss their implications for optimizing the performance of large language models in knowledge graph-based question answering tasks.","2025-08","2025-09-10 14:11:52","2025-09-10 14:11:52","","","","","","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","Knowledge graphs; Language models; Question answering; Fine-tuning; Few-shot learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V52UKYNN","conferencePaper","2024","Komarlu, Tanay; Jiang, Minhao; Wang, Xuan; Han, Jiawei","OntoType: Ontology-Guided and Pre-Trained Language Model Assisted Fine-Grained Entity Typing","Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining","979-8-4007-0490-1","","10.1145/3637528.3671745","https://doi.org/10.1145/3637528.3671745","Fine-grained entity typing (FET), which assigns entities in text with context-sensitive, fine-grained semantic types, is a basic but important task for knowledge extraction from unstructured text. FET has been studied extensively in natural language processing and typically relies on human-annotated corpora for training, which is costly and difficult to scale. Recent studies explore the utilization of pre-trained language models (PLMs) as a knowledge base to generate rich and context-aware weak supervision for FET. However, a PLM still requires direction and guidance to serve as a knowledge base as they often generate a mixture of rough and fine-grained types, or tokens unsuitable for typing. In this study, we vision that an ontology provides a semantics-rich, hierarchical structure, which will help select the best results generated by multiple PLM models and head words. Specifically, we propose a novel annotation-free, ontology-guided FET method, OntoType, which follows a type ontological structure, from coarse to fine, ensembles multiple PLM prompting results to generate a set of type candidates, and refines its type resolution, under the local context with a natural language inference model. Our experiments on the Ontonotes, FIGER, and NYT datasets using their associated ontological structures demonstrate that our method outperforms the state-of-the-art zero-shot fine-grained entity typing methods as well as a typical LLM method, ChatGPT. Our error analysis shows that refinement of the existing ontology structures will further improve fine-grained entity typing.","2024","2025-09-10 14:11:52","2025-09-10 14:11:52","","1407–1417","","","","","","","KDD '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Barcelona, Spain","","","","natural language understanding; fine-grained entity typing; masked language model prompting; zero-shot entity typing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y65Q72PM","conferencePaper","2024","Zhang, Shiyao; Dong, Yuji; Zhang, Yichuan; Payne, Terry R.; Zhang, Jie","Large Language Model Assissted Multi-Agent Dialogue for Ontology Alignment","Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems","979-8-4007-0486-4","","","","Ontology alignment is critical in cross-domain integration; however, it typically necessitates the involvement of a human domain-expert, which can make the task costly. Although a variety of machine-learning approaches have been proposed that can simplify this task by learning the patterns from experts, such techniques are still susceptible to domain knowledge updates that could potentially change the patterns and lead to extra expert involvement. The use of Large Language Models (LLMs) has demonstrated a general cognitive ability, which has the potential to assist ontology alignment from the cognition level, thus obviating the need for costly expert involvement. However, the process by which the output of LLMs is generated can be opaque and thus the reliability and interpretability of such models is not always predictable. This paper proposes a dialogue model, in which multiple agents negotiate the correspondence between two knowledge sets with the support from an LLM. We demonstrate that this approach not only reduces the need for the involvement of a domain expert for ontology alignment, but that the results are interpretable despite the use of LLMs.","2024","2025-09-10 14:11:52","2025-09-10 14:11:52","","2594–2596","","","","","","","AAMAS '24","","","","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","","","","","","","","event-place: Auckland, New Zealand","","","","large language model; multi-agent system; ontology alignment; dialogue; negotiation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8KIJTII","conferencePaper","2023","Hertling, Sven; Paulheim, Heiko","OLaLa: Ontology Matching with Large Language Models","Proceedings of the 12th Knowledge Capture Conference 2023","979-8-4007-0141-2","","10.1145/3587259.3627571","https://doi.org/10.1145/3587259.3627571","Ontology (and more generally: Knowledge Graph) Matching is a challenging task where information in natural language is one of the most important signals to process. With the rise of Large Language Models, it is possible to incorporate this knowledge in a better way into the matching pipeline. A number of decisions still need to be taken, e.g., how to generate a prompt that is useful to the model, how information in the KG can be formulated in prompts, which Large Language Model to choose, how to provide existing correspondences to the model, how to generate candidates, etc. In this paper, we present a prototype that explores these questions by applying zero-shot and few-shot prompting with multiple open Large Language Models to different tasks of the Ontology Alignment Evaluation Initiative (OAEI). We show that with only a handful of examples and a well-designed prompt, it is possible to achieve results that are en par with supervised matching systems which use a much larger portion of the ground truth.","2023","2025-09-10 14:11:52","2025-09-10 14:11:52","","131–139","","","","","","","K-CAP '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Pensacola, FL, USA","","","","Large Language Model; Ontology Matching; Entity Resolution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDIQ72MR","journalArticle","2025","O'leary, Daniel E.","Using Large Language Models for Armchair Auditors","Digit. Gov.: Res. Pract.","","","10.1145/3676280","https://doi.org/10.1145/3676280","Armchair auditors are citizens who use open data to investigate and monitor government activities, typically using analytics and other approaches. Armchair auditors provide a valuable role in holding governments and organizations accountable. This paper investigates the potential use of large language models (LLM) to support armchair auditor analyses of different governmental entities. Unfortunately, the literature, prior to the development of LLM suggested several challenges for armchair auditors. However, the analysis in this paper suggests that LLM can provide substantial data and analytic process support for armchair auditors mitigating issues such as providing guidelines for analyses, guiding users to appropriate communities, suggesting potential data availability opportunities, doing analysis, and other issues. As part of an approach to unifying armchair auditor searches, this paper also suggests a prompt library designed to support, standardize and promote best practice analyzes among armchair auditors. In addition to these issues, this paper also analyzes emerging ethical issues associated with armchair auditors and their use of open data and LLMs. Finally, this paper extends the activity theory model to account for LLMs.","2025-06","2025-09-10 14:11:52","2025-09-10 14:11:52","","","","2","6","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","ChatGPT; large language models; Activity theory; armchair auditor; BARD; open data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
