"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Integrating Ontology Rules with Large Language Models for Enhanced Reasoning","I. Paik","School of Computer Science and Engineering, University of Aizu","2025 International Technical Conference on Circuits/Systems, Computers, and Communications (ITC-CSCC)","2 Sep 2025","2025","","","1","8","Ontology-based reasoning enables structured inference and logical consistency in specialized domains. However, traditional ontology reasoning frameworks rely heavily on predefined inference engines and XML-based structured data, limiting their integration with Large Language Models (LLMs). Despite their strong general reasoning capabilities, LLMs struggle with structured ontological knowledge due to their reliance on unstructured text.This study proposes a novel approach to integrating ontology-based reasoning into LLMs by transforming ontological concepts and rules into structured natural language. By systematically defining ontology components—such as classes, properties, and rules—using a natural language-friendly format, we enable LLMs to process and infer knowledge from domain-specific ontologies without dedicated inference engines. The feasibility of this transformation is demonstrated through experiments on a domain-specific cocktail ontology. Our findings highlight the potential of natural language-driven ontology representation in bridging the gap between rule-based inference and flexible LLM reasoning.","2997-741X","979-8-3315-5363-0","10.1109/ITC-CSCC66376.2025.11137761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11137761","Ontology;Large Language Model;Ontology Reasoning;Ontology in Natural Language;RAG","Computers;Limiting;Large language models;Scalability;Natural languages;Computer architecture;Ontologies;Cognition;Engines;Optimization","","","","14","IEEE","2 Sep 2025","","","IEEE","IEEE Conferences"
"Chatbot-Based Ontology Interaction Using Large Language Models and Domain-Specific Standards","J. Reif; T. Jeleniewski; M. S. Gill; F. Gehlhoff; A. Fay","Institute of Automation Technology, Helmut Schmidt University, Hamburg, Germany; Institute of Automation Technology, Helmut Schmidt University, Hamburg, Germany; Institute of Automation Technology, Helmut Schmidt University, Hamburg, Germany; Institute of Automation Technology, Helmut Schmidt University, Hamburg, Germany; Chair of Automation, Ruhr University, Bochum, Germany",2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),"16 Oct 2024","2024","","","1","4","The following contribution introduces a concept that employs Large Language Models (LLMs) and a chatbot interface to enhance SPARQL query generation for ontologies, thereby facilitating intuitive access to formalized knowledge. Utilizing natural language inputs, the system converts user inquiries into accurate SPARQL queries that strictly query the factual content of the ontology, effectively preventing misinformation or fabrication by the LLM. To enhance the quality and precision of outcomes, additional textual information from established domain-specific standards is integrated into the ontology for precise descriptions of its concepts and relationships. An experimental study assesses the accuracy of generated SPARQL queries, revealing significant benefits of using LLMs for querying ontologies and highlighting areas for future research.","1946-0759","979-8-3503-6123-0","10.1109/ETFA61755.2024.10711065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711065","Semantic Web;Ontologies;Large Language Models;Cyber-Physical Systems;Industry 4.0","Fabrication;Accuracy;Large language models;Semantics;Natural languages;Ontologies;Chatbots;Fake news;Standards;Manufacturing automation","","","","15","IEEE","16 Oct 2024","","","IEEE","IEEE Conferences"
"OntoKGen: A Genuine Ontology and Knowledge Graph Generator Using Large Language Model","M. S. Abolhasani; R. Pan","School of Computing and Augmented Intelligence, Arizona State University, Tempe, AZ; School of Computing and Augmented Intelligence, Arizona State University, Tempe, AZ",2025 Annual Reliability and Maintainability Symposium (RAMS),"27 Mar 2025","2025","","","1","6","Extracting relevant and structured knowledge from large, complex technical documents within the Reliability and Maintainability (RAM) domain is labor-intensive and prone to errors. Our work addresses this challenge by presenting OntoKGen, a Genuine pipeline for Ontology extraction and Knowledge Graph (KG) generation. OntoKGen leverages Large Language Models (LLMs) through an interactive user interface guided by our adaptive iterative Chain of Thought (CoT) algorithm to ensure that the ontology extraction process and, thus, KG generation align with user-specific requirements. Although KG generation follows a clear, structured path based on the confirmed ontology, there is no universally correct ontology as it is inherently based on the user's preferences. OntoKGen recommends an ontology grounded in best practices, minimizing user effort and providing valuable insights that may have been overlooked, all while giving the user complete control over the final ontology. Having generated the KG based on the confirmed ontology, OntoKGen enables seamless integration into schemeless, non-relational databases like Neo4j. This integration allows for flexible storage and retrieval of knowledge from diverse, unstructured sources, facilitating advanced querying, analysis, and decision-making. Moreover, the generated KG serves as a robust foundation for future integration into Retrieval-Augmented Generation (RAG) systems, offering enhanced capabilities for developing domain-specific intelligent applications.","2577-0993","979-8-3503-6774-4","10.1109/RAMS48127.2025.10935139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10935139","Large Language Model;Ontology and Knowledge Graph Generator;Prompt Engineering;Neo4J","Large language models;Retrieval augmented generation;Pipelines;Random access memory;Knowledge graphs;Ontologies;User interfaces;Reliability engineering;Generators;Prompt engineering","","","","7","IEEE","27 Mar 2025","","","IEEE","IEEE Conferences"
"Large Language Models for Automatic Standardization of Cyber Deception Plans based on the Adversary Engagement Ontology","N. Piazza; B. Upadhayay; R. Scarpa; V. Behzadan","SAIL Lab University of New Haven West Haven, USA; SAIL Lab University of New Haven West Haven, USA; SAIL Lab University of New Haven West Haven, USA; SAIL Lab University of New Haven West Haven, USA",MILCOM 2024 - 2024 IEEE Military Communications Conference (MILCOM),"6 Dec 2024","2024","","","1","5","Adversary Engagement Ontology (AEO) is a candidate ontology for the Unified Cyber Ontology (UCO), a community effort aimed at ontological standardization of cyber domain concepts and objects under a unifying framework. It forms a part of the Cyber Domain Ontology (CDO). In the past, community efforts and development have always been labor-intensive with regards to changes in ontology, example generation for adopters, and documentation generation. Large Language Models (LLMs), such as Claude-3.5-Sonnet and GPT4, have been proven capable of automating many tasks and aiding in human expert decision-making. Additionally, LLMs have been used in code interpretation, generation, and evaluation with efficiency and accuracy comparable to that of humans. This emergent capability of LLMs has led to the advantage of using LLMs to streamline the process of ontology development. Motivated by the aforementioned-approaches, we aim to demonstrate how these foundational LLMs can assist in ontology example generation and development, as well as be utilized to automate structured, albeit tedious tasks.","2155-7586","979-8-3503-7423-0","10.1109/MILCOM61039.2024.10773797","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10773797","Adversary Engagement;Ontology","Military communication;Codes;Accuracy;Large language models;Decision making;Standardization;Documentation;Ontologies;Natural language processing","","","","13","IEEE","6 Dec 2024","","","IEEE","IEEE Conferences"
"An Approach to Automated Ontology Extraction From Technological Documentation Using NLP and LLM","A. V. Guryanov; V. S. Moshkin; A. A. Dyrnochkin","Ulyanovsk state technical university, Ulyanovsk, Russia; Ulyanovsk state technical university, Ulyanovsk, Russia; Ulyanovsk state technical university, Ulyanovsk, Russia","2025 International Conference on Industrial Engineering, Applications and Manufacturing (ICIEAM)","13 Jun 2025","2025","","","1011","1016","The paper presents an approach to constructing a formal description of a subject area using automated analysis of technological documentation. The first stage of the proposed approach is extracting data (terms, objects of the subject area) from technical documentation on the subject area. Then, a natural language query is formed for a large language model (LLM), which helps to extract relations between the extracted terms. At the final stage, an OWL ontology is formed by postprocessing the obtained data. Evaluation experiments were conducted on 16 documents (ISO) on the topic of “Space industry”. Experiments were also conducted to compare algorithms for extracting terms and relations using LLM and the C-value algorithm. The proposed approach has proven its effectiveness on strictly formalized texts.","2993-4060","979-8-3315-1219-4","10.1109/ICIEAM65163.2025.11028174","Russian Science Foundation(grant numbers:23-71-01101); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028174","ontology;large language model;natural language processing;design documentation;technical documentation;term","Industries;Large language models;ISO Standards;OWL;Prototypes;Documentation;Ontologies;Industrial engineering;Natural language processing;Manufacturing","","","","15","IEEE","13 Jun 2025","","","IEEE","IEEE Conferences"
"Toward a Method to Generate Capability Ontologies from Natural Language Descriptions","L. M. Vieira da Silva; A. Kocher; F. Gehlhoff; A. Fay","Institute of Automation Helmut Schmidt University, Hamburg, Germany; Institute of Automation Helmut Schmidt University, Hamburg, Germany; Institute of Automation Helmut Schmidt University, Hamburg, Germany; Chair of Automation Ruhr University, Bochum, Germany",2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),"16 Oct 2024","2024","","","1","4","To achieve a flexible and adaptable system, capabil-ity ontologies are increasingly leveraged to describe functions in a machine-interpretable way. However, modeling such complex ontological descriptions is still a manual and error-prone task that requires a significant amount of effort and ontology expertise. This contribution presents an innovative method to automate capability ontology modeling using Large Language Models (LLMs), which have proven to be well suited for such tasks. Our approach requires only a natural language description of a capability, which is then automatically inserted into a predefined prompt using a few-shot prompting technique. After prompting an LLM, the resulting capability ontology is automatically verified through various steps in a loop with the LLM to check the overall correctness of the capability ontology. First, a syntax check is performed, then a check for contradictions, and finally a check for hallucinations and missing ontology elements. Our method greatly reduces manual effort, as only the initial natural language description and a final human review and possible correction are necessary, thereby streamlining the capability ontology generation process.","1946-0759","979-8-3503-6123-0","10.1109/ETFA61755.2024.10710783","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10710783","Large Language Models;LLMs;Capabilities;Skills;Ontologies;Semantic Web;Model-Generation","Adaptation models;Costs;Reviews;Large language models;Natural languages;Manuals;Ontologies;Syntactics;Manufacturing automation;Testing","","","","14","IEEE","16 Oct 2024","","","IEEE","IEEE Conferences"
"A Hybrid AI Framework Integrating Ontology Learning, Knowledge Graphs, and Large Language Models for Improved Data Model Translation in Smart Manufacturing and Transportation","K. Mohsenzadegan; V. Tavakkoli; W. V. Kambale; K. Kyamakya","Institute for Smart System Technologies, Universitaet Klagenfurt, Klagenfurt, Austria; Institute for Smart System Technologies, Universitaet Klagenfurt, Klagenfurt, Austria; Institute for Smart System Technologies, Universitaet Klagenfurt, Klagenfurt, Austria; Universitaet Klagenfurt /Inst. f. Smart Systems Technologies, Austria & Faculté Polytechnique Université de Kinshasa, DR-Congo","2024 Sensor Data Fusion: Trends, Solutions, Applications (SDF)","6 Dec 2024","2024","","","1","6","Interoperability among diverse data standards is crucial for advancing digital technologies in smart manufacturing and transportation. This paper studies and presents a hybrid AI framework that integrates Ontology Learning (OL), Knowledge Graphs (KGs), and Large Language Models (LLMs) to enhance data translation across different standards. Focusing on IEEE 1451, ISO 15926, and IEC 61499, which exemplify the challenges of translating between distinct data models, we evaluate the performance of OL, KGs, and LLMs in terms of accuracy, scalability, efficiency, robustness, and flexibility. The findings indicate that the hybrid framework effectively leverages OL for semantic structuring, KGs for relational modeling, and LLMs for linguistic and contextual processing. This integration significantly improves the accuracy and adaptability of data translations, offering a comprehensive solution tailored to the complex environments of smart manufacturing and transportation, thereby advancing cross-standard data interoperability.","2473-7666","979-8-3315-2744-0","10.1109/SDF63218.2024.10773919","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10773919","Data Model Translation;Ontology Learning (OL);Knowledge Graphs (KGs);Large Language Models (LLMs);Smart Manufacturing;Data Interoperability;AI in Transportation;Hybrid AI Framework;Semantic Mapping;Cross-Standard Data Integration","Accuracy;Large language models;Transportation;Data integration;Knowledge graphs;Ontologies;Data models;Standards;Interoperability;Smart manufacturing","","2","","30","IEEE","6 Dec 2024","","","IEEE","IEEE Conferences"
"On the Use of Large Language Models to Generate Capability Ontologies","L. M. Vieira da Silva; A. Kocher; F. Gehlhoff; A. Fay","Institute of Automation Helmut Schmidt University, Hamburg, Germany; Institute of Automation Helmut Schmidt University, Hamburg, Germany; Institute of Automation Helmut Schmidt University, Hamburg, Germany; Chair of Automation Ruhr University, Bochum, Germany",2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),"16 Oct 2024","2024","","","1","8","Capability ontologies are increasingly used to model functionalities of systems or machines. The creation of such onto-logical models with all properties and constraints of capabilities is very complex and can only be done by ontology experts. However, Large Language Models (LLMs) have shown that they can generate machine-interpretable models from natural language text input and thus support engineers / ontology experts. Therefore, this paper investigates how LLMs can be used to create capability ontologies. We present a study with a series of experiments in which capabilities with varying complexities are generated using different prompting techniques and with different LLMs. Errors in the generated ontologies are recorded and compared. To analyze the quality of the generated ontologies, a semi-automated approach based on RDF syntax checking, OWL reasoning, and SHACL constraints is used. The results of this study are very promising because even for complex capabilities, the generated ontologies are almost free of errors.","1946-0759","979-8-3503-6123-0","10.1109/ETFA61755.2024.10710775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10710775","Large Language Models;LLMs;Capabilities;Skills;Ontologies;Semantic Web;Model-Generation","Shape;Large language models;Natural languages;OWL;Ontologies;Syntactics;Cognition;Resource description framework;Complexity theory;Testing","","4","","23","IEEE","16 Oct 2024","","","IEEE","IEEE Conferences"
"Ontology engineering with Large Language Models","P. Mateiu; A. Groza","Department of Computer Science, Technical University of Cluj-Napoca, Cluj-Napoca, Romania; Department of Computer Science, Technical University of Cluj-Napoca, Cluj-Napoca, Romania",2023 25th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC),"10 May 2024","2023","","","226","229","We tackle the task of enriching ontologies by automatically translating natural language (NL) into Description Logic (DL). Since Large Language Models (LLMs) are the best tools for translations, we fine-tuned a GPT-3 model to convert NL into OWL Functional Syntax. For fine-tuning, we designed pairs of sentences in NL and the corresponding translations. This training pairs cover various aspects from ontology engineering: instances, class subsumption, domain and range of relations, object properties relationships, disjoint classes, complements, or cardinality restrictions. The resulted axioms are used to enrich an ontology, in a human supervised manner. The developed tool is publicly provided as a Protégé plugin.","2470-881X","979-8-3503-9412-2","10.1109/SYNASC61333.2023.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10522716","ontology engineering;large language models;Protege plugin;fine-tuning","Training;Scientific computing;Description logic;OWL;Natural languages;Syntactics;Task analysis","","21","","15","IEEE","10 May 2024","","","IEEE","IEEE Conferences"
"Toward Fine-Tuning Large Language Models in Ontology of Microbial Phenotypes Construction","A. Baidya; T. Do; E. Z. Gnimpieba","Dept. of Biomedical Engineering, University of South Dakota, Vermillion, SD, USA; Dept. of Biomedical Engineering, University of South Dakota, Vermillion, SD, USA; Dept. of Biomedical Engineering, University of South Dakota, Vermillion, SD, USA",2024 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"4 Apr 2025","2024","","","6913","6920","Ontologies are crucial for organizing domainspecific knowledge in biomedical fields, but their manual construction is time-consuming. This study explores the automation of ontology learning using large language models (LLMs) like BERT, RoBERTa, and DistilBERT, focusing on the Ontology of Microbial Phenotypes (OMP). We investigate three key tasks: (1) entity extraction, (2) relation extraction between entities, and (3) ontology verification. These tasks align with broader applications in biomedical annotation and named entity recognition (NER) by enabling the identification and structuring of key terms and relationships within microbial phenotypes. We evaluate LLMs in two scenarios: baseline performance using pre-trained models and fine-tuned performance after training on OMP-specific data. Our approach integrates spaCy for entity extraction, Llama 2 for relation identification, and LLMs for ontology verification. Experiments reveal that fine-tuned models significantly improve accuracy, precision, recall, and F1 scores, particularly for ontology verification. This research highlights the potential of LLMs to enhance ontology learning and support related biomedical applications like biofilm analysis, annotation, and NER, while emphasizing the value of expert curation.","2156-1133","979-8-3503-8622-6","10.1109/BIBM62325.2024.10947604","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10947604","Ontology Learning;Large Language Models;Fine-tuning;Microbial Phenotypes;Ontology Verification","Training;Phenotypes;Annotations;Large language models;Biological system modeling;Focusing;Named entity recognition;Manuals;Ontologies;Data models","","","","29","USGov","4 Apr 2025","","","IEEE","IEEE Conferences"
